iter	Logloss
0	0.6120076342
1	0.5672186894
2	0.5150453641
3	0.4863955568
4	0.4580685655
5	0.4395160421
6	0.4247404077
7	0.4087064992
8	0.3957979476
9	0.3852135076
10	0.3753703815
11	0.3638147855
12	0.3605541033
13	0.3564392498
14	0.3533743123
15	0.3486202699
16	0.3464319375
17	0.3442374667
18	0.3412746387
19	0.3376077481
20	0.3346785298
21	0.3306564319
22	0.3280249341
23	0.32609495
24	0.3244108097
25	0.3219325336
26	0.3204647538
27	0.3193491329
28	0.3173067834
29	0.3149594781
30	0.3137118361
31	0.312461716
32	0.3109193005
33	0.3100657387
34	0.3089788903
35	0.3085037747
36	0.3078034949
37	0.3072902105
38	0.3062486779
39	0.3055329583
40	0.304730877
41	0.3043503954
42	0.3031443548
43	0.3014062985
44	0.3008612263
45	0.3004945511
46	0.2997183553
47	0.2991207517
48	0.2984953459
49	0.2984660201
50	0.2978817183
51	0.2971607423
52	0.2970376719
53	0.2966137757
54	0.2963404041
55	0.2960881956
56	0.2957924618
57	0.2955933282
58	0.2948406897
59	0.2944306658
60	0.2938192047
61	0.2933546176
62	0.29309129
63	0.2925942619
64	0.2922777182
65	0.2917395119
66	0.2910892894
67	0.2904688006
68	0.2903351564
69	0.289857479
70	0.28953777
71	0.2891895057
72	0.2888767773
73	0.2883080623
74	0.2879836927
75	0.2864248127
76	0.2860794572
77	0.2857016904
78	0.2856865147
79	0.2851201113
80	0.2849897139
81	0.2847757147
82	0.2843858211
83	0.2840439784
84	0.2835421792
85	0.2831815077
86	0.2830332129
87	0.2823382059
88	0.2819255009
89	0.2817123787
90	0.2815073004
91	0.2814184962
92	0.2810434672
93	0.280992251
94	0.2806476029
95	0.2804731488
96	0.2801588486
97	0.2799120424
98	0.2793911733
99	0.2790422739
100	0.2787509688
101	0.2783794423
102	0.2779093069
103	0.2776208368
104	0.276821632
105	0.2761207431
106	0.2756689381
107	0.2745833744
108	0.2739411857
109	0.2736388364
110	0.2730462072
111	0.2727702241
112	0.2723475737
113	0.2717643009
114	0.2715134318
115	0.2712697547
116	0.2706059426
117	0.2703189564
118	0.2700123496
119	0.2694435576
120	0.2692410857
121	0.268646636
122	0.2684463616
123	0.2680611062
124	0.2677921052
125	0.2675601799
126	0.267216023
127	0.2667444233
128	0.2663304654
129	0.2653056443
130	0.2648012691
131	0.2641623519
132	0.2638423993
133	0.2636103837
134	0.2632467809
135	0.2628503252
136	0.2624307268
137	0.2619794232
138	0.2617104993
139	0.2613859552
140	0.2610364216
141	0.2603377626
142	0.2601101983
143	0.2597297169
144	0.2592431826
145	0.2587287217
146	0.258142847
147	0.2579310434
148	0.2575935704
149	0.2573243991
150	0.2567837539
151	0.256478254
152	0.2561149372
153	0.2554269394
154	0.2550853535
155	0.2545226975
156	0.2539250026
157	0.2534940318
158	0.2529643731
159	0.252710194
160	0.2525306499
161	0.2520666356
162	0.251797867
163	0.251313972
164	0.2510946885
165	0.2507183858
166	0.2504488324
167	0.2501154539
168	0.2497391401
169	0.2494114961
170	0.2487633285
171	0.248049662
172	0.2476682497
173	0.2473964566
174	0.2469867735
175	0.2465889861
176	0.2463626574
177	0.2461297946
178	0.2459636645
179	0.2454382042
180	0.2450553952
181	0.2444764987
182	0.2440869081
183	0.243732407
184	0.2434300544
185	0.2431500503
186	0.2427432799
187	0.2423546713
188	0.2420705665
189	0.2416890723
190	0.2413591434
191	0.2410977109
192	0.2408112575
193	0.2401776658
194	0.2398412957
195	0.2395275225
196	0.2392247504
197	0.2388220329
198	0.2384833651
199	0.2382897025
200	0.237793411
201	0.2372834582
202	0.2369458067
203	0.2368769573
204	0.2365635187
205	0.2361763034
206	0.2359708191
207	0.2358460265
208	0.2353863672
209	0.2352208858
210	0.2348221833
211	0.2346012187
212	0.2342899472
213	0.2339739235
214	0.2336505821
215	0.2335069465
216	0.2332077984
217	0.2330052404
218	0.2326964202
219	0.2323674418
220	0.232038331
221	0.2317958185
222	0.2316736819
223	0.2314501987
224	0.2312421305
225	0.2308052224
226	0.2305001025
227	0.2302441259
228	0.2299285993
229	0.2294213617
230	0.2291626241
231	0.2286357247
232	0.2284364538
233	0.2283543622
234	0.2281705583
235	0.227840657
236	0.2272664612
237	0.2269245491
238	0.2266722783
239	0.2264456417
240	0.2262176424
241	0.2260472348
242	0.2259914098
243	0.2258484223
244	0.2257359344
245	0.2254928453
246	0.2253191939
247	0.2249746138
248	0.2247485955
249	0.2244631955
250	0.2239985742
251	0.2235161308
252	0.2228913084
253	0.2225583604
254	0.2222966494
255	0.2220447307
256	0.2216549014
257	0.2215551054
258	0.2213915548
259	0.221204576
260	0.2208560587
261	0.220618963
262	0.2203351245
263	0.2201291659
264	0.2196785644
265	0.2194956149
266	0.2193010098
267	0.2192352989
268	0.2189612423
269	0.218700931
270	0.2184242277
271	0.2180889968
272	0.2177751085
273	0.2176185211
274	0.217350059
275	0.2170460256
276	0.2167966393
277	0.2166429465
278	0.2164317761
279	0.2161745902
280	0.2159164546
281	0.2156186902
282	0.2154569968
283	0.215267347
284	0.215046208
285	0.2149040963
286	0.2144211859
287	0.214098643
288	0.2139110817
289	0.2138181722
290	0.2134851255
291	0.2133033647
292	0.2131375121
293	0.2129616766
294	0.2126280959
295	0.2124507966
296	0.2123030239
297	0.2120261742
298	0.2116774668
299	0.2113591717
300	0.2112730738
301	0.2111480396
302	0.2108196742
303	0.2105770309
304	0.2105003174
305	0.2101815525
306	0.2098926445
307	0.2095766364
308	0.2093664942
309	0.2090931733
310	0.2090104293
311	0.2087569371
312	0.2086957441
313	0.2084866267
314	0.2083323
315	0.2081331225
316	0.2079873253
317	0.2078505865
318	0.2075827315
319	0.2073515463
320	0.2066387675
321	0.2064329644
322	0.2062384815
323	0.2061106844
324	0.2058861842
325	0.2056124772
326	0.2052539516
327	0.2050666095
328	0.2049536007
329	0.2047749398
330	0.2047283402
331	0.204571656
332	0.2043169343
333	0.2040311888
334	0.2038846518
335	0.2037111943
336	0.2034673437
337	0.2032653397
338	0.2030626875
339	0.2030069137
340	0.202847112
341	0.202720528
342	0.2024931286
343	0.2022203691
344	0.202030474
345	0.2017619003
346	0.2015918461
347	0.2012690464
348	0.2010738358
349	0.2007947539
350	0.200702917
351	0.2004831666
352	0.2004658418
353	0.2002397314
354	0.2001143879
355	0.1998364136
356	0.199672286
357	0.1994349442
358	0.1991255375
359	0.1989244583
360	0.1986691558
361	0.1984668749
362	0.198175539
363	0.1979590404
364	0.1977221044
365	0.197537068
366	0.19729279
367	0.1971220974
368	0.1968962865
369	0.1966410639
370	0.196522019
371	0.196374518
372	0.1961934432
373	0.1960249316
374	0.1958608163
375	0.1956387598
376	0.1955133121
377	0.1953537393
378	0.1951568672
379	0.1949905398
380	0.194815342
381	0.1946788659
382	0.1945039403
383	0.1943413855
384	0.1941328926
385	0.1938926519
386	0.1938028873
387	0.1935472502
388	0.1934372606
389	0.1931853732
390	0.1930749488
391	0.1928886184
392	0.1926940862
393	0.1925170849
394	0.192386
395	0.1921153545
396	0.1919812467
397	0.1918695556
398	0.1916988674
399	0.1915315577
400	0.1913640251
401	0.1911711912
402	0.1910706199
403	0.1909272269
404	0.1908923596
405	0.1907495466
406	0.190567727
407	0.1904270105
408	0.1899759072
409	0.1898075325
410	0.1897880876
411	0.1896771241
412	0.1895471696
413	0.1893766277
414	0.1891391466
415	0.1889041311
416	0.188837374
417	0.1885225155
418	0.1884503772
419	0.1883260476
420	0.188132926
421	0.1880477296
422	0.1878781936
423	0.1876443218
424	0.1875130055
425	0.1873873037
426	0.1871182578
427	0.1870222798
428	0.1867519827
429	0.186582708
430	0.1863080359
431	0.1861601643
432	0.1860066553
433	0.185872379
434	0.1857796065
435	0.1855085869
436	0.1853344403
437	0.1851811393
438	0.1850075695
439	0.1848066888
440	0.1846143909
441	0.1845248919
442	0.1843298561
443	0.184078108
444	0.1837524831
445	0.1836171116
446	0.1833967564
447	0.1832397095
448	0.183134211
449	0.182942514
450	0.1827050689
451	0.1824941008
452	0.1823319946
453	0.182290585
454	0.182102706
455	0.181917714
456	0.181774773
457	0.1816467401
458	0.1814536462
459	0.1812694437
460	0.1811108097
461	0.1809203878
462	0.1807282977
463	0.180658269
464	0.1805374464
465	0.1804264194
466	0.1802542235
467	0.1801497181
468	0.179950435
469	0.179835836
470	0.1797380757
471	0.1795753032
472	0.1794049294
473	0.1792283935
474	0.1789576923
475	0.1787595734
476	0.1785761
477	0.1784197538
478	0.1782816992
479	0.1781046896
480	0.1780616108
481	0.1779601803
482	0.1778472283
483	0.1776554916
484	0.1775995884
485	0.1774620193
486	0.1773074981
487	0.1771707603
488	0.1769896745
489	0.1767564238
490	0.176573841
491	0.1764097246
492	0.17610532
493	0.1760753243
494	0.1758577531
495	0.1757087364
496	0.1756471346
497	0.1755851336
498	0.1755071192
499	0.175274159
